# Value of zero-sum games computed from Linear programming approach and Multiplicative-Weights-Update approach
#m(matrix size)	value(LP)	value(MW)	comp_time_avg(LP)	comp_time_avg(MW) comp_time_max(LP)	comp_time_max(MW)
2	0.485922	0.501965	0.225740ms	2.590342ms 2.066113ms	7.861320ms
3	0.452536	0.471640	0.029097ms	0.939310ms 0.038090ms	1.544478ms
4	0.416990	0.430210	0.648536ms	1.656939ms 6.206252ms	2.966994ms
5	0.441713	0.471899	0.018002ms	2.357781ms 0.024742ms	3.466437ms
6	0.456060	0.469286	0.027309ms	3.868643ms 0.059665ms	12.227509ms
7	0.454386	0.473844	0.032852ms	3.834654ms 0.075513ms	5.138894ms
8	0.403992	0.448836	0.034821ms	4.813662ms 0.052133ms	5.570102ms
9	0.445860	0.464338	0.041378ms	5.407033ms 0.050945ms	6.075688ms
10	0.462223	0.481772	0.054745ms	6.672684ms 0.075164ms	8.355356ms
11	0.428501	0.441829	0.992418ms	7.991940ms 5.752486ms	11.035039ms
12	0.432991	0.449108	0.211705ms	11.187784ms 1.803674ms	18.387158ms
13	0.400332	0.415525	0.071931ms	9.289783ms 0.177339ms	11.366984ms
14	0.288366	0.308459	0.065047ms	10.675779ms 0.119341ms	12.918368ms
